"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","6","0","","0"
"0","","1","API","0","0","Production external endpoit","0"
"0","","0","API","1","0","JOYTISHAPI","0"
"0","","0","API","1","0","JOYTISHAI","0"
