"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","6","0","","0"
"0","","0","API","1","0","JOYTISHAPI","0"
"0","","0","API","1","0","","0"
"0","","0","API","1","0","JOYTISHAI","0"
