"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","","5","0","","0"
"0","","0","API","1","0","JOYTISHAPI","0"
"0","","0","API","1","0","Production external endpoit","0"
"0","","0","API","1","0","Production End-to-End Flow","0"
"0","","0","API","1","0","JOYTISHAI","0"
